transaction_id,customer_id,product_id,quantity,amount,transaction_time,payment_method
T0000000,C03197,P01807,3,11013.900000000001,2025-07-05 16:40:00,貨到付款
T0000001,C00125,P00843,4,1906.16,2025-07-10 23:01:42,轉帳
T0000002,C01375,P00787,1,3571.94,2025-07-06 23:06:19,行動支付
T0000003,C01116,P01488,3,6603.6900000000005,2025-07-07 13:56:04,信用卡
T0000004,C03682,P00694,3,7102.200000000001,2025-07-05 21:38:16,轉帳
T0000005,C03383,P01576,4,10363.48,2025-07-25 18:43:43,貨到付款
T0000006,C04460,P01704,1,268.12,2025-07-08 20:48:31,轉帳
T0000007,C00434,P01146,1,2992.4,2025-07-20 20:48:21,貨到付款
T0000008,C02109,P01045,3,4196.1900000000005,2025-07-07 05:46:46,轉帳
T0000009,C00148,P01880,2,587.9,2025-07-29 07:09:15,信用卡
T0000010,C01093,P01626,3,11356.11,2025-07-22 13:01:17,轉帳
T0000011,C02526,P01256,3,792.8399999999999,2025-07-28 10:22:11,信用卡
T0000012,C00132,P01555,3,6264.36,2025-07-29 15:16:09,轉帳
T0000013,C00994,P01338,3,7712.1900000000005,2025-07-18 14:43:24,行動支付
T0000014,C03249,P00051,4,14153.4,2025-07-29 10:42:22,信用卡
T0000015,C02724,P01133,1,686.36,2025-07-04 18:33:23,貨到付款
T0000016,C01102,P00048,4,15017.2,2025-07-16 11:12:35,行動支付
T0000017,C02946,P01891,4,7405.32,2025-07-23 18:22:18,貨到付款
T0000018,C04047,P00197,4,13058.88,2025-07-11 22:16:40,轉帳
T0000019,C00032,P01841,3,6408.51,2025-07-25 14:02:51,貨到付款
T0000020,C04029,P01603,2,6441.12,2025-07-20 19:40:05,貨到付款
T0000021,C03490,P01458,1,1041.98,2025-07-19 05:06:05,貨到付款
T0000022,C01701,P01698,2,2974.64,2025-07-16 18:59:19,轉帳
T0000023,C00777,P00507,4,15568.72,2025-07-12 19:20:48,信用卡
T0000024,C04786,P01636,4,6353.48,2025-07-22 11:29:44,信用卡
