product_id,product_name,category,brand,list_price,sale_price,weight_dimensions,employee_id,create_date,modify_date
P00000,Product_0,圖書,Brand_I,3009,2843,4385g,EMP0001,2024-10-28,2025-06-02
P00001,Product_1,圖書,Brand_G,723,554,81x87x39cm,EMP0004,2024-11-22,
P00002,Product_2,美妝,Brand_D,2195,1559,2309g,EMP0002,2025-03-20,
P00003,Product_3,美妝,Brand_C,888,778,1724g,EMP0000,2024-10-24,
P00004,Product_4,家居,Brand_H,3532,2870,23x28x62cm,EMP0005,2024-10-21,
P00005,Product_5,家居,Brand_C,3818,2769,885g,EMP0002,2025-06-16,2025-07-19
P00006,Product_6,3C,Brand_C,618,542,813g,EMP0006,2024-09-11,
P00007,Product_7,圖書,Brand_F,2580,1826,17x13x82cm,EMP0002,2025-01-01,
P00008,Product_8,服飾,Brand_B,4092,3754,4174g,EMP0003,2025-06-04,
P00009,Product_9,食品,Brand_H,4687,3444,41x86x26cm,EMP0001,2024-12-10,
P00010,Product_10,3C,Brand_C,2616,1915,52x47x16cm,EMP0004,2024-09-01,2025-06-01
P00011,Product_11,3C,Brand_J,4756,3538,1745g,EMP0000,2024-11-24,
P00012,Product_12,服飾,Brand_B,2725,2562,69x96x82cm,EMP0005,2025-05-07,
P00013,Product_13,圖書,Brand_E,2032,1774,2622g,EMP0006,2025-07-02,
P00014,Product_14,3C,Brand_C,4256,3832,57x15x34cm,EMP0006,2024-09-24,
P00015,Product_15,服飾,Brand_A,2516,2011,44x98x94cm,EMP0003,2025-03-15,
P00016,Product_16,食品,Brand_H,2412,1891,90x27x93cm,EMP0002,2024-12-13,
P00017,Product_17,服飾,Brand_B,2503,1898,2393g,EMP0007,2025-04-03,
P00018,Product_18,家居,Brand_D,4249,3485,31x51x37cm,EMP0005,2025-04-17,
P00019,Product_19,圖書,Brand_C,4177,3500,86x54x16cm,EMP0007,2024-12-30,2025-06-18
P00020,Product_20,美妝,Brand_J,2077,1782,4897g,EMP0001,2025-01-30,
P00021,Product_21,圖書,Brand_J,1733,1325,64x85x72cm,EMP0003,2025-06-28,
P00022,Product_22,圖書,Brand_B,2510,2353,4057g,EMP0005,2024-12-15,
P00023,Product_23,家居,Brand_I,2907,2158,2787g,EMP0002,2025-06-17,
P00024,Product_24,食品,Brand_A,1268,1194,4917g,EMP0002,2025-02-15,2025-05-17
