"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"61430b36","41-45歲","男","桃園市","運動科技潮人"
"d3b6179c","36-40歲","女","新北市","樂動廣告品牌控"
"4237543a","41-45歲","男","桃園市","運動科技潮人"
"b5c4c08d","51-55歲","女","高雄市","網購社媒手機迷"
"e2b31f40","46-50歲","男","台北市","運動科技潮人"
"b463bc57","41-45歲","男","台中市","樂動廣告品牌控"
"63de75a2","46-50歲","男","台中市","運動科技潮人"
"59bb6dfc","36-40歲","男","新竹縣","運動科技潮人"
"c9b73083","46-50歲","男","新北市","運動科技潮人"
"9f305866","31-35歲","男","新竹縣","樂動廣告品牌控"
"45902578","36-40歲","男","桃園市","健康愛家定存控"
"0a4277da","46-50歲","男","高雄市","樂動廣告品牌控"
"b2a1e7ad","36-40歲","女","台南市","健康愛家定存控"
"1ccdcec5","36-40歲","女","新北市","獨立愛遊理財新手"
"8807bb50","41-45歲","男","新北市","運動科技潮人"
"da3127aa","41-45歲","女","高雄市","傳統保健理財族"
"53cdf745","26-30歲","女","新北市","獨立愛遊理財新手"
"a71f7c2f","36-40歲","女","台北市","健康愛家定存控"
"175a2177","41-45歲","男","桃園市","愛搜愛比網購客"
"d9d48c83","41-45歲","男","桃園市","運動科技潮人"
"516a002d","46-50歲","男","新北市","運動科技潮人"
"80258403","51-55歲","女","新北市","愛搜愛比網購客"
"b38cd986","41-45歲","女","基隆市","品味養生理財貴族"
"5246fe3c","51-55歲","女","新竹縣","獨立愛遊理財新手"
"5a510bcd","46-50歲","男","台北市","運動科技潮人"
"c803787d","41-45歲","男","新竹縣","運動科技潮人"
"67c8067f","26-30歲","女","彰化縣","健康愛家定存控"
"dffa4cc1","61-65歲","女","新北市","品味養生理財貴族"
"07a0a7b5","51-55歲","女","台中市","健康愛家定存控"
"7684a531","46-50歲","女","新竹縣","網購社媒手機迷"
"fd96b7c0","36-40歲","男","台中市","樂動廣告品牌控"
"521e3fe7","41-45歲","女","新北市","傳統保健理財族"
"784ce3ef","56-60歲","男","台北市","愛搜愛比網購客"
"0b9e82db","61-65歲","女","桃園市","樂動廣告品牌控"
"3106c3d9","56-60歲","女","台南市","物質享樂衝購族"
"12ac98c5","31-35歲","男","台中市","運動科技潮人"
"4b1c9030","46-50歲","女","台北市","健康愛家定存控"
"a1dac278","41-45歲","女","新北市","品味養生理財貴族"
"ac70df09","41-45歲","女","桃園市","樂動廣告品牌控"
"3b0d58cd","41-45歲","男","台中市","愛搜愛比網購客"
"dea697b8","41-45歲","男","台中市","健康愛家定存控"
"8733f1f8","31-35歲","男","台南市","運動科技潮人"
"5b51d336","26-30歲","女","新竹縣","物質享樂衝購族"
"fbf48ac0","36-40歲","女","新北市","物質享樂衝購族"
"d56bcbe8","41-45歲","男","桃園市","運動科技潮人"
"3d9014ac","31-35歲","男","桃園市","運動科技潮人"
"4531cbde","46-50歲","男","新竹縣","運動科技潮人"
"85aecdae","41-45歲","男","新北市","樂動廣告品牌控"
"d0ef8c9e","41-45歲","男","新北市","運動科技潮人"
"50cf8f5e","41-45歲","男","新北市","運動科技潮人"
"ae405989","46-50歲","男","宜蘭縣","樂動廣告品牌控"
"c4692924","61-65歲","男","新北市","愛搜愛比網購客"
"af75ac37","31-35歲","男","嘉義縣","運動科技潮人"
"5123d5fb","51-55歲","男","新北市","運動科技潮人"
"82f5b252","36-40歲","男","台中市","運動科技潮人"
"b65a9f84","41-45歲","男","高雄市","網購社媒手機迷"
"03d52319","31-35歲","男","新竹縣","樂動廣告品牌控"
"a602becf","36-40歲","女","台中市","樂動廣告品牌控"
"33fdf8d7","51-55歲","女","新竹市","樂動廣告品牌控"
"642fcbe1","41-45歲","女","台北市","樂動廣告品牌控"
"fa0c719d","41-45歲","女","台中市","樂動廣告品牌控"
"cfe9e3f3","46-50歲","女","台中市","健康愛家定存控"
"b9be4400","36-40歲","女","台北市","網購社媒手機迷"
"aebd62bc","41-45歲","女","桃園市","獨立愛遊理財新手"
"f096c171","41-45歲","男","台北市","愛搜愛比網購客"
"c63a5ef4","41-45歲","男","台北市","傳統保健理財族"
"0034427e","41-45歲","女","桃園市","健康愛家定存控"
"3079e614","31-35歲","女","台北市","獨立愛遊理財新手"
"74f4b7d0","31-35歲","男","高雄市","樂動廣告品牌控"
"7d37b399","51-55歲","男","新北市","運動科技潮人"
"6155b15e","36-40歲","男","新竹縣","樂動廣告品牌控"
"75ce1981","31-35歲","女","新北市","傳統保健理財族"
"b9ce8abd","31-35歲","女","台中市","物質享樂衝購族"
"673c75b0","46-50歲","男","新北市","運動科技潮人"
"88710e3f","36-40歲","男","桃園市","運動科技潮人"
"bf01cc82","61-65歲","女","台北市","健康愛家定存控"
"8a5fded7","36-40歲","女","桃園市","物質享樂衝購族"
"351e45e1","46-50歲","女","新北市","傳統保健理財族"
"8630ac76","41-45歲","男","桃園市","愛搜愛比網購客"
"82c4822a","36-40歲","女","新竹市","健康愛家定存控"
"7432c2bb","41-45歲","男","台中市","樂動廣告品牌控"
"686aacd6","41-45歲","男","高雄市","樂動廣告品牌控"
"c78c456e","36-40歲","男","桃園市","樂動廣告品牌控"
"51b20c84","41-45歲","女","台中市","品味養生理財貴族"
"1f9692a8","31-35歲","女","新北市","健康愛家定存控"
"b8068bc8","41-45歲","男","台北市","運動科技潮人"
"0c8862e4","31-35歲","女","台中市","運動科技潮人"
"c3682356","46-50歲","男","桃園市","運動科技潮人"
"84ffd96f","31-35歲","女","台中市","傳統保健理財族"
"b67739a6","36-40歲","男","高雄市","運動科技潮人"
"6e0bfbf6","41-45歲","女","桃園市","健康愛家定存控"
"0a455b97","36-40歲","男","新竹縣","運動科技潮人"
"ef4bd3f9","51-55歲","女","桃園市","品味養生理財貴族"
"8d90625d","51-55歲","女","新北市","物質享樂衝購族"
"17869399","36-40歲","女","新北市","物質享樂衝購族"
"7e8828d2","36-40歲","女","台北市","健康愛家定存控"
"36b45abb","51-55歲","男","新北市","運動科技潮人"
"458469ed","46-50歲","男","台南市","愛搜愛比網購客"
"8b17eba0","46-50歲","女","台北市","愛搜愛比網購客"
"276a4104","41-45歲","女","彰化縣","樂動廣告品牌控"
"424a5525","41-45歲","女","新北市","愛搜愛比網購客"
"2be1f3ad","56-60歲","女","台北市","健康愛家定存控"
"0869774f","46-50歲","女","高雄市","品味養生理財貴族"
"4dedfc39","31-35歲","男","桃園市","樂動廣告品牌控"
"6ebe72c7","41-45歲","女","桃園市","運動科技潮人"
"ae3f12df","46-50歲","女","台中市","物質享樂衝購族"
"d771d13f","61-65歲","女","新北市","品味養生理財貴族"
"988477f7","41-45歲","女","高雄市","樂動廣告品牌控"
"1ca154eb","41-45歲","女","新北市","運動科技潮人"
"21a14d09","41-45歲","女","新北市","網購社媒手機迷"
"e95e30c7","41-45歲","男","新竹市","運動科技潮人"
"7239c7c9","41-45歲","男","桃園市","運動科技潮人"
"5dd9f7b9","31-35歲","女","高雄市","健康愛家定存控"
"f2c0c969","41-45歲","女","新竹縣","樂動廣告品牌控"
"befde3c4","46-50歲","女","桃園市","品味養生理財貴族"
"163990de","36-40歲","男","新北市","樂動廣告品牌控"
"45063f61","46-50歲","女","新北市","傳統保健理財族"
"741c0ef1","36-40歲","女","台北市","運動科技潮人"
"0782886f","46-50歲","女","新北市","品味養生理財貴族"
"cac3585a","36-40歲","男","桃園市","運動科技潮人"
"9b806e73","41-45歲","女","台北市","品味養生理財貴族"
"a6a53126","61-65歲","男","台中市","樂動廣告品牌控"
"1dee32d9","61-65歲","女","台北市","品味養生理財貴族"
"926f802d","36-40歲","男","桃園市","運動科技潮人"
"a0da8cc1","31-35歲","女","新北市","獨立愛遊理財新手"
"fbf5bacc","36-40歲","女","台北市","運動科技潮人"
"c70fb5ea","31-35歲","女","新北市","健康愛家定存控"
"6d4e1ed1","46-50歲","女","新北市","品味養生理財貴族"
"079d7d0f","41-45歲","女","桃園市","網購社媒手機迷"
"b92c1ce9","31-35歲","女","彰化縣","獨立愛遊理財新手"
"de293a45","36-40歲","女","新竹縣","健康愛家定存控"
"3d1c78aa","31-35歲","男","新竹市","運動科技潮人"
"4c0915aa","46-50歲","女","台北市","網購社媒手機迷"
"f96a8579","36-40歲","女","台中市","品味養生理財貴族"
"2df155c8","31-35歲","女","新竹市","健康愛家定存控"
"2065fd4d","51-55歲","女","新北市","物質享樂衝購族"
"1a9d6b67","41-45歲","女","台北市","品味養生理財貴族"
"0fcdff39","51-55歲","男","彰化縣","愛搜愛比網購客"
"c82b9e79","36-40歲","男","台中市","物質享樂衝購族"
"ecbb1023","36-40歲","男","新北市","運動科技潮人"
"fa602555","36-40歲","男","台北市","樂動廣告品牌控"
"28bfd385","46-50歲","女","桃園市","品味養生理財貴族"
"cc6f21ba","41-45歲","女","雲林縣","樂動廣告品牌控"
"098cbf35","46-50歲","男","新北市","運動科技潮人"
"38334b77","66以上","女","台北市","品味養生理財貴族"
"b23da327","36-40歲","女","新北市","品味養生理財貴族"
"1cf80f31","41-45歲","女","新北市","品味養生理財貴族"
"dd61cba7","41-45歲","男","台北市","運動科技潮人"
"e1fd3c3c","41-45歲","男","台北市","樂動廣告品牌控"
"1636b118","41-45歲","女","新竹縣","傳統保健理財族"
"ad8a9461","46-50歲","女","新北市","品味養生理財貴族"
"e31f3f54","46-50歲","男","新北市","運動科技潮人"
"cce02f69","31-35歲","女","台北市","物質享樂衝購族"
"da8e0529","46-50歲","男","台北市","運動科技潮人"
"438efacc","46-50歲","女","新竹市","健康愛家定存控"
"4911731b","51-55歲","女","桃園市","愛搜愛比網購客"
"cec3462d","31-35歲","女","台中市","網購社媒手機迷"
"a5df4f82","46-50歲","女","台中市","品味養生理財貴族"
"cb8b113a","46-50歲","女","新北市","物質享樂衝購族"
"f753692f","46-50歲","女","新北市","愛搜愛比網購客"
"d368145a","36-40歲","女","桃園市","物質享樂衝購族"
"cfb725da","51-55歲","女","台北市","健康愛家定存控"
"9315d057","41-45歲","男","新北市","運動科技潮人"
"ccab6e44","51-55歲","女","桃園市","傳統保健理財族"
"c45b9a8d","56-60歲","男","台北市","樂動廣告品牌控"
"4b15b093","51-55歲","女","花蓮縣","傳統保健理財族"
"6a13d805","41-45歲","女","新北市","物質享樂衝購族"
"53eb2e9c","36-40歲","男","桃園市","樂動廣告品牌控"
"8caa23c1","41-45歲","女","新北市","物質享樂衝購族"
"e8fb5a05","31-35歲","女","新竹縣","健康愛家定存控"
"0c64649a","41-45歲","女","苗栗縣","健康愛家定存控"
"a6bf49e1","46-50歲","男","新北市","運動科技潮人"
"39c12c8b","51-55歲","男","新竹縣","運動科技潮人"
"7a0de7af","41-45歲","男","高雄市","樂動廣告品牌控"
"08a60a1e","31-35歲","男","屏東縣","健康愛家定存控"
"7bca91e9","56-60歲","男","台北市","健康愛家定存控"
"45be183b","41-45歲","男","新北市","樂動廣告品牌控"
"5c23b211","41-45歲","男","桃園市","運動科技潮人"
"c9b32806","36-40歲","女","桃園市","健康愛家定存控"
"25f41911","41-45歲","女","台中市","愛搜愛比網購客"
"caf9236c","36-40歲","男","新北市","獨立愛遊理財新手"
"795a9d8a","46-50歲","男","台南市","樂動廣告品牌控"
"571f02ac","31-35歲","女","新北市","物質享樂衝購族"
"52751b60","41-45歲","女","台北市","物質享樂衝購族"
"60e9d54f","36-40歲","男","花蓮縣","樂動廣告品牌控"
"c7c35c2c","41-45歲","女","新北市","運動科技潮人"
"7817cdf5","56-60歲","女","高雄市","樂動廣告品牌控"
"83dbb550","51-55歲","男","新北市","運動科技潮人"
