"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"5ee7627d","46-50歲","女","新北市","健康愛家定存控"
"7add029d","56-60歲","女","桃園市","品味養生理財貴族"
"bef5d055","46-50歲","女","新竹市","物質享樂衝購族"
"05b860ce","36-40歲","女","苗栗縣","網購社媒手機迷"
"48b982b8","46-50歲","男","新北市","愛搜愛比網購客"
"2215e70a","66以上","男","新北市","運動科技潮人"
"44275069","41-45歲","女","台北市","健康愛家定存控"
"94b8290f","51-55歲","男","台北市","運動科技潮人"
"2583f359","56-60歲","女","高雄市","網購社媒手機迷"
"4751dbf9","36-40歲","女","台北市","樂動廣告品牌控"
"ce5c33b9","41-45歲","女","新竹市","傳統保健理財族"
"7e7fecdc","31-35歲","女","台中市","物質享樂衝購族"
"12a0e888","36-40歲","女","台南市","健康愛家定存控"
"3e5989f4","46-50歲","女","台中市","樂動廣告品牌控"
"a4a8b916","41-45歲","女","花蓮縣","健康愛家定存控"
"7630365a","41-45歲","女","新竹縣","物質享樂衝購族"
"b9e0fdd3","51-55歲","女","台北市","品味養生理財貴族"
"abfc2a82","51-55歲","女","新北市","品味養生理財貴族"
"2743c3b9","46-50歲","女","新北市","網購社媒手機迷"
"a5b5f3eb","41-45歲","男","新竹市","愛搜愛比網購客"
"dd4dbab1","31-35歲","女","新北市","健康愛家定存控"
"c366df86","56-60歲","男","台中市","愛搜愛比網購客"
"1c636c7d","36-40歲","女","台南市","網購社媒手機迷"
"34653f1a","46-50歲","男","高雄市","愛搜愛比網購客"
"28546dcf","46-50歲","男","台中市","樂動廣告品牌控"
"7c863ab5","56-60歲","女","高雄市","傳統保健理財族"
"1584fbb2","51-55歲","女","台中市","健康愛家定存控"
"a441522c","36-40歲","女","新竹縣","樂動廣告品牌控"
"d0580746","46-50歲","女","桃園市","樂動廣告品牌控"
"cd71e856","36-40歲","女","高雄市","物質享樂衝購族"
"69d8d1dc","31-35歲","女","基隆市","運動科技潮人"
"20fab52e","56-60歲","女","台南市","傳統保健理財族"
