"order_num","customer_no","order_date","order_time","store_name","order_amt"
"201264","9208cd91","2025-05-20","12:11:31","好健康保健股份有限公司分公司_107","11550"
"206310","92a21f70","2025-06-06","16:07:42","好健康保健股份有限公司分公司_209","12"
"84765","550f6d6d","2024-06-06","18:02:37","好健康保健股份有限公司分公司_161","553"
"19066","f90ea494","2023-11-09","09:28:10","好健康保健股份有限公司分公司_149","1982"
"38951","aefc9b49","2024-01-09","11:34:32","好健康保健股份有限公司分公司_83","480"
"144567","5dfeaf31","2024-12-04","19:41:12","好健康保健股份有限公司分公司_354","177"
"169863","1bf728bb","2025-02-16","17:09:35","好健康保健股份有限公司分公司_50","1700"
"73762","f213404b","2024-05-03","20:41:29","好健康保健股份有限公司分公司_43","137"
"108465","546cc289","2024-08-16","17:10:38","好健康保健股份有限公司分公司_268","2480"
"761","8140ccff","2023-09-04","12:12:40","好健康保健股份有限公司分公司_217","134"
"53172","0bd998c9","2024-02-26","11:14:45","好健康保健股份有限公司分公司_32","1970"
"191685","364c2405","2025-04-20","11:50:48","好健康保健股份有限公司分公司_87","3742"
"160409","04008838","2025-01-17","17:33:58","好健康保健股份有限公司分公司_155","329"
"225506","694e1d9b","2025-08-11","15:26:32","好健康保健股份有限公司分公司_100","165"
"203872","6b4a3fdb","2025-05-29","12:10:00","好健康保健股份有限公司分公司_209","882"
"211490","7dffb420","2025-06-22","18:32:39","好健康保健股份有限公司分公司_87","666"
"195599","e000590a","2025-05-02","10:46:02","好健康保健股份有限公司分公司_53","1580"
"134240","29803329","2024-11-03","08:04:59","好健康保健股份有限公司分公司_268","80"
"165899","5399e3a4","2025-02-04","21:28:32","好健康保健股份有限公司分公司_57","783"
"9324","49001ac5","2023-10-05","20:02:50","好健康保健股份有限公司分公司_278","122"
"207880","2e3dbf6f","2025-06-11","12:02:54","好健康保健股份有限公司分公司_217","760"
"112185","336f9c5b","2024-08-27","19:45:14","好健康保健股份有限公司分公司_165","110"
"213599","9ae8c504","2025-06-29","15:38:41","好健康保健股份有限公司分公司_276","3069"
"178006","c2a37a30","2025-03-12","16:44:47","好健康保健股份有限公司分公司_217","492"
"24992","196cd35b","2023-11-30","17:08:46","好健康保健股份有限公司分公司_335","69"
"166487","872bdfcc","2025-02-06","15:04:56","好健康保健股份有限公司分公司_116","1222"
"122468","8953f328","2024-09-26","20:02:38","好健康保健股份有限公司分公司_295","2978"
"75456","d9041c82","2024-05-09","09:55:13","好健康保健股份有限公司分公司_200","2240"
"169310","760fbebe","2025-02-14","19:20:27","好健康保健股份有限公司分公司_56","198"
"89674","b16028aa","2024-06-19","20:40:53","好健康保健股份有限公司分公司_256","650"
"89556","18ab6de0","2024-06-19","17:23:50","好健康保健股份有限公司分公司_107","95"
"46051","3951aa7a","2024-02-01","21:55:48","好健康保健股份有限公司分公司_246","2430"
"169728","843abb98","2025-02-16","12:13:37","好健康保健股份有限公司分公司_138","1585"
"89409","c7284f89","2024-06-19","12:58:07","好健康保健股份有限公司分公司_287","388"
"61311","6b234bb8","2024-03-23","18:43:23","好健康保健股份有限公司分公司_315","699"
"78390","b4ebd9ee","2024-05-17","21:54:28","好健康保健股份有限公司分公司_256","758"
"22764","f97f308f","2023-11-22","11:17:24","好健康保健股份有限公司分公司_257","5600"
"7157","60738bf7","2023-09-27","20:41:16","好健康保健股份有限公司分公司_84","469"
"24726","c1c42dd5","2023-11-29","17:50:38","好健康保健股份有限公司分公司_147","336"
"66884","e019c63b","2024-04-11","14:19:37","好健康保健股份有限公司分公司_56","192"
"146209","a725c40d","2024-12-08","17:49:30","好健康保健股份有限公司分公司_217","414"
"218886","49b8912c","2025-07-18","18:36:07","好健康保健股份有限公司分公司_72","345"
"161361","8d6375c0","2025-01-20","18:47:48","好健康保健股份有限公司分公司_95","1665"
"209449","7d4a4cee","2025-06-16","15:13:34","好健康保健股份有限公司分公司_332","2545"
"47324","baca5924","2024-02-06","13:02:39","好健康保健股份有限公司分公司_286","500"
"138006","a1f6e89e","2024-11-14","16:17:44","好健康保健股份有限公司分公司_274","410"
"147094","36f69fd3","2024-12-10","18:21:38","好健康保健股份有限公司分公司_240","709"
"4467","caedb915","2023-09-17","17:36:10","好健康保健股份有限公司分公司_116","2320"
"34675","2f316419","2023-12-27","12:01:33","好健康保健股份有限公司分公司_20","6200"
"90703","19e61b9c","2024-06-22","17:09:38","好健康保健股份有限公司分公司_86","599"
"48217","bafe9273","2024-02-08","14:13:27","好健康保健股份有限公司分公司_329","810"
"194071","e8328f51","2025-04-27","19:54:43","好健康保健股份有限公司分公司_56","6628"
"168633","0c39ea31","2025-02-12","20:44:18","好健康保健股份有限公司分公司_118","139"
"57930","32609b2f","2024-03-12","18:47:26","好健康保健股份有限公司分公司_2","360"
"152952","e22fed51","2024-12-26","11:03:45","好健康保健股份有限公司分公司_268","743"
"50074","47c84906","2024-02-16","13:08:04","好健康保健股份有限公司分公司_115","1690"
"161719","f1c2a3e9","2025-01-21","18:41:36","好健康保健股份有限公司分公司_178","6679"
"129810","38f0ccd2","2024-10-19","15:18:08","好健康保健股份有限公司分公司_44","847"
"176691","7e9d280f","2025-03-08","19:18:27","好健康保健股份有限公司分公司_76","545"
"104322","c5293851","2024-08-03","20:30:48","好健康保健股份有限公司分公司_299","39"
"90626","9ab98e8c","2024-06-22","13:43:08","好健康保健股份有限公司分公司_283","2526"
"130940","58ab0933","2024-10-23","08:01:38","好健康保健股份有限公司分公司_100","101"
"143195","12551267","2024-12-02","10:52:40","好健康保健股份有限公司分公司_312","882"
"92125","d75dbea1","2024-06-26","16:27:53","好健康保健股份有限公司分公司_282","2200"
"36202","6c6350e2","2023-12-30","18:24:02","好健康保健股份有限公司分公司_62","992"
"120763","6abbf633","2024-09-22","10:37:26","好健康保健股份有限公司分公司_329","3500"
"171121","ebd5c235","2025-02-20","14:02:29","好健康保健股份有限公司分公司_33","1359"
"90956","e6a9ef0c","2024-06-23","15:43:04","好健康保健股份有限公司分公司_112","827"
"156755","0f76af61","2025-01-06","11:18:09","好健康保健股份有限公司分公司_229","207"
"219418","879331fe","2025-07-21","11:49:15","好健康保健股份有限公司分公司_48","3200"
"6425","93746d85","2023-09-25","16:12:18","好健康保健股份有限公司分公司_334","8275"
"65183","83a0d643","2024-04-05","15:18:52","好健康保健股份有限公司分公司_26","198"
"53943","6b65b7ec","2024-02-28","17:57:53","好健康保健股份有限公司分公司_97","1678"
"112486","ae1b3da4","2024-08-28","17:41:48","好健康保健股份有限公司分公司_108","1418"
"136445","3c80cc2c","2024-11-09","14:09:30","好健康保健股份有限公司分公司_263","1875"
"74633","f213404b","2024-05-06","19:00:30","好健康保健股份有限公司分公司_43","366"
"145416","b3670b70","2024-12-06","16:51:24","好健康保健股份有限公司分公司_268","2000"
"89183","7b9fd6c1","2024-06-18","17:28:00","好健康保健股份有限公司分公司_332","4750"
"223991","05e4fabc","2025-08-06","15:55:33","好健康保健股份有限公司分公司_69","3749"
"80257","4ab8233e","2024-05-24","12:48:00","好健康保健股份有限公司分公司_254","776"
"139869","4d953957","2024-11-20","18:07:16","好健康保健股份有限公司分公司_222","78"
"219580","810f7c31","2025-07-21","17:34:19","好健康保健股份有限公司分公司_191","1425"
"145218","48b94a23","2024-12-06","11:26:34","好健康保健股份有限公司分公司_164","10595"
"175903","20a7863e","2025-03-06","15:19:08","好健康保健股份有限公司分公司_56","410"
"103210","1ae39f95","2024-07-31","18:03:36","好健康保健股份有限公司分公司_167","1000"
"157778","40c65130","2025-01-09","12:15:25","好健康保健股份有限公司分公司_245","1019"
"33420","d373c4da","2023-12-23","17:49:31","好健康保健股份有限公司分公司_209","1462"
"133846","93733282","2024-11-01","16:42:23","好健康保健股份有限公司分公司_356","1700"
"32996","c73d9098","2023-12-22","13:39:41","好健康保健股份有限公司分公司_253","3150"
"170113","319ab9a4","2025-02-17","15:54:08","好健康保健股份有限公司分公司_241","580"
"101778","dc0204d6","2024-07-27","11:39:03","好健康保健股份有限公司分公司_236","2982"
"57868","cb9849ca","2024-03-12","17:21:52","好健康保健股份有限公司分公司_52","164"
"78082","8ca78ae1","2024-05-16","21:00:07","好健康保健股份有限公司分公司_203","3600"
"188900","d1b92e38","2025-04-12","13:11:26","好健康保健股份有限公司分公司_87","4234"
"135054","c1ca57a1","2024-11-05","12:31:59","好健康保健股份有限公司分公司_77","520"
"25211","fe8817b1","2023-12-01","11:14:12","好健康保健股份有限公司分公司_229","2"
"16911","d0b25c5b","2023-11-02","10:19:47","好健康保健股份有限公司分公司_33","1850"
"4234","d98d9581","2023-09-16","18:14:48","好健康保健股份有限公司分公司_34","225"
"210938","7c8af54e","2025-06-20","18:17:36","好健康保健股份有限公司分公司_39","5139"
"139132","9ec2d6c1","2024-11-18","15:55:12","好健康保健股份有限公司分公司_54","159"
"53291","a8037110","2024-02-26","16:40:56","好健康保健股份有限公司分公司_272","2900"
"227160","6fb2a2e8","2025-08-17","13:05:12","好健康保健股份有限公司分公司_3","1888"
"110603","302860f0","2024-08-23","09:16:48","好健康保健股份有限公司分公司_145","63"
"77141","a5ba9971","2024-05-14","10:02:54","好健康保健股份有限公司分公司_4","1590"
"116395","c0cfe229","2024-09-09","08:45:57","好健康保健股份有限公司分公司_127","1903"
"174054","c54a3624","2025-03-01","09:43:44","好健康保健股份有限公司分公司_202","5330"
"135357","cbf45931","2024-11-06","11:22:06","好健康保健股份有限公司分公司_319","3000"
"77851","b6c80276","2024-05-16","11:01:27","好健康保健股份有限公司分公司_117","1445"
"189260","20d73569","2025-04-13","14:40:43","好健康保健股份有限公司分公司_114","1665"
"137758","bf0a90a5","2024-11-13","19:01:27","好健康保健股份有限公司分公司_117","10"
"139879","39be6a88","2024-11-20","18:25:49","好健康保健股份有限公司分公司_24","243"
"64901","2b829493","2024-04-04","14:15:32","好健康保健股份有限公司分公司_19","1021"
"62305","3eaeb257","2024-03-27","10:06:27","好健康保健股份有限公司分公司_328","0"
"9203","c3d3b2f9","2023-10-05","14:10:30","好健康保健股份有限公司分公司_326","2009"
"203542","0d3709c7","2025-05-28","10:54:09","好健康保健股份有限公司分公司_81","1850"
"68031","684b1c03","2024-04-15","12:25:22","好健康保健股份有限公司分公司_62","59"
"56338","c268669d","2024-03-07","14:11:00","好健康保健股份有限公司分公司_71","2484"
"138485","21e94476","2024-11-16","10:18:52","好健康保健股份有限公司分公司_44","944"
"74065","02c34880","2024-05-04","20:16:46","好健康保健股份有限公司分公司_135","1495"
"154674","e7269581","2024-12-30","18:42:38","好健康保健股份有限公司分公司_290","117"
"200247","a43342d1","2025-05-16","18:27:24","好健康保健股份有限公司分公司_98","2199"
"137674","00e1eaa1","2024-11-13","15:48:23","好健康保健股份有限公司分公司_3","520"
"50352","762ca6c0","2024-02-17","12:17:00","好健康保健股份有限公司分公司_32","2170"
"137557","0a29ffbd","2024-11-13","10:15:52","好健康保健股份有限公司分公司_347","2215"
"58008","6457a43a","2024-03-12","21:22:38","好健康保健股份有限公司分公司_240","2095"
"115707","6040908b","2024-09-06","19:26:02","好健康保健股份有限公司分公司_200","2200"
"139277","0eae5a32","2024-11-18","21:37:55","好健康保健股份有限公司分公司_316","199"
"43258","2eff5b6e","2024-01-23","20:20:16","好健康保健股份有限公司分公司_131","332"
