"customer_no","age_category","gender","hsien_desc","bs_tag_desc"
"ceecd89b","46-50歲","女","苗栗縣","網購社媒手機迷"
"567beac1","31-35歲","女","新竹縣","網購社媒手機迷"
"4a4fc614","26-30歲","女","台北市","獨立愛遊理財新手"
"f9b9c79a","26-30歲","女","高雄市","網購社媒手機迷"
"56555b2d","41-45歲","女","苗栗縣","品味養生理財貴族"
"35f07551","56-60歲","女","台中市","樂動廣告品牌控"
"b7affb66","36-40歲","女","台南市","健康愛家定存控"
"16d4ab18","31-35歲","女","新竹縣","健康愛家定存控"
"af9bd7e5","31-35歲","男","高雄市","樂動廣告品牌控"
"0b26fb1c","46-50歲","女","苗栗縣","網購社媒手機迷"
"a1ff759c","31-35歲","男","雲林縣","物質享樂衝購族"
"531f7b20","56-60歲","女","桃園市","樂動廣告品牌控"
"f1c1247a","31-35歲","女","新北市","物質享樂衝購族"
"41e70c6d","31-35歲","女","桃園市","網購社媒手機迷"
"de51c052","31-35歲","男","新北市","運動科技潮人"
"929927e8","31-35歲","男","新竹縣","樂動廣告品牌控"
"ca01a3c2","26-30歲","男","高雄市","運動科技潮人"
"aaa59850","36-40歲","女","新北市","獨立愛遊理財新手"
"b31c4f5c","56-60歲","女","台北市","愛搜愛比網購客"
"96a71dbd","51-55歲","女","新竹縣","品味養生理財貴族"
"05cd61af","31-35歲","女","台中市","物質享樂衝購族"
"9687f8dc","31-35歲","男","台北市","運動科技潮人"
"40eb3951","51-55歲","男","桃園市","愛搜愛比網購客"
"f073d367","31-35歲","女","苗栗縣","物質享樂衝購族"
"dc43acea","36-40歲","男","嘉義市","健康愛家定存控"
"8462dde5","41-45歲","女","台中市","品味養生理財貴族"
"57bb0616","31-35歲","男","台南市","運動科技潮人"
"51dd23f1","46-50歲","女","嘉義市","網購社媒手機迷"
"8938a51b","46-50歲","女","台北市","網購社媒手機迷"
"072a139c","36-40歲","女","桃園市","健康愛家定存控"
"4dadfb28","36-40歲","女","新北市","物質享樂衝購族"
"267f80c9","26-30歲","男","台中市","運動科技潮人"
"c1647913","36-40歲","男","新北市","運動科技潮人"
"ada1c7a6","36-40歲","男","新北市","樂動廣告品牌控"
"f906e40c","31-35歲","女","新北市","物質享樂衝購族"
"b94e4609","51-55歲","女","新北市","品味養生理財貴族"
"0cf6c4ea","46-50歲","女","新北市","物質享樂衝購族"
"989d10d0","31-35歲","男","新竹縣","運動科技潮人"
"c57281f3","56-60歲","女","苗栗縣","網購社媒手機迷"
"db7b0d8a","26-30歲","女","台北市","健康愛家定存控"
"fe5c30d7","31-35歲","女","台中市","物質享樂衝購族"
"b2e831d5","46-50歲","男","台北市","運動科技潮人"
"b0fa0eb0","31-35歲","女","新竹縣","樂動廣告品牌控"
"20b6877d","36-40歲","女","桃園市","網購社媒手機迷"
"8004d8f1","41-45歲","女","新竹縣","品味養生理財貴族"
"14bbf6b7","46-50歲","女","新北市","愛搜愛比網購客"
"89da0ff4","41-45歲","男","台中市","傳統保健理財族"
"ea4b39fa","31-35歲","女","新竹市","獨立愛遊理財新手"
"42b1ff99","51-55歲","女","新竹縣","獨立愛遊理財新手"
"dc0e6805","41-45歲","女","新北市","運動科技潮人"
"03f97b9b","31-35歲","女","彰化縣","物質享樂衝購族"
"d1fcac31","41-45歲","女","台北市","獨立愛遊理財新手"
"123a01f2","46-50歲","女","新北市","物質享樂衝購族"
"d65da79a","61-65歲","女","台北市","網購社媒手機迷"
"a3abff10","26-30歲","女","苗栗縣","物質享樂衝購族"
"13c395f5","46-50歲","女","桃園市","品味養生理財貴族"
"09167639","36-40歲","男","新竹縣","健康愛家定存控"
"b028efec","36-40歲","女","桃園市","傳統保健理財族"
"c8fc4b59","36-40歲","女","台中市","健康愛家定存控"
"636a3282","46-50歲","女","台北市","健康愛家定存控"
"d5771ca1","51-55歲","女","台中市","傳統保健理財族"
"018667df","41-45歲","女","台北市","品味養生理財貴族"
"e5039bb5","36-40歲","女","高雄市","網購社媒手機迷"
"2023e8a5","36-40歲","女","花蓮縣","網購社媒手機迷"
"61e46625","31-35歲","男","新北市","樂動廣告品牌控"
"99d7c7ce","46-50歲","女","彰化縣","傳統保健理財族"
"0b6e2b83","46-50歲","女","花蓮縣","網購社媒手機迷"
"a9f907eb","56-60歲","女","台北市","品味養生理財貴族"
"1880a21a","26-30歲","女","台中市","網購社媒手機迷"
"2994c439","51-55歲","女","台北市","網購社媒手機迷"
"927aabda","31-35歲","男","高雄市","運動科技潮人"
"0217cae4","31-35歲","女","高雄市","健康愛家定存控"
"cbad29bd","31-35歲","女","苗栗縣","物質享樂衝購族"
"d93f1d9d","36-40歲","男","台中市","樂動廣告品牌控"
"12d2613a","36-40歲","女","新北市","品味養生理財貴族"
"cb79fa15","41-45歲","女","台北市","獨立愛遊理財新手"
"cac5404a","46-50歲","男","新竹縣","樂動廣告品牌控"
"9e3ac603","31-35歲","男","台中市","獨立愛遊理財新手"
"47520d17","51-55歲","女","台北市","健康愛家定存控"
"1b2f7ca9","31-35歲","男","台中市","運動科技潮人"
"acd98d0b","36-40歲","女","台南市","健康愛家定存控"
"9f2b8e9b","51-55歲","女","高雄市","傳統保健理財族"
"c65dc39b","36-40歲","女","新竹縣","物質享樂衝購族"
"fc3c6e4e","26-30歲","男","台中市","健康愛家定存控"
"56bce243","36-40歲","女","苗栗縣","樂動廣告品牌控"
"358c0d5e","51-55歲","女","苗栗縣","獨立愛遊理財新手"
"fda1d858","36-40歲","女","苗栗縣","樂動廣告品牌控"
"3fe0406d","41-45歲","女","彰化縣","獨立愛遊理財新手"
"c507b661","36-40歲","女","南投縣","健康愛家定存控"
"d14fdb8d","31-35歲","女","新竹市","健康愛家定存控"
"2ac5398a","41-45歲","男","台中市","樂動廣告品牌控"
"d7e7bc30","46-50歲","女","新北市","品味養生理財貴族"
"1f7513c7","31-35歲","女","台北市","獨立愛遊理財新手"
"9d604a74","36-40歲","女","台中市","物質享樂衝購族"
"db3d72ff","46-50歲","男","台南市","運動科技潮人"
"21e94e9f","51-55歲","女","苗栗縣","健康愛家定存控"
"fd072793","36-40歲","女","高雄市","樂動廣告品牌控"
"c7b8adda","46-50歲","男","台中市","愛搜愛比網購客"
"29cb94af","51-55歲","男","高雄市","傳統保健理財族"
"23c324fb","36-40歲","女","台北市","樂動廣告品牌控"
"e8cd6fcb","41-45歲","女","台北市","獨立愛遊理財新手"
"5c6699a7","26-30歲","男","新北市","運動科技潮人"
"12bc4221","41-45歲","男","花蓮縣","愛搜愛比網購客"
"496a4b16","46-50歲","男","台南市","網購社媒手機迷"
"beca0b6c","56-60歲","女","桃園市","品味養生理財貴族"
"3e3d5cc5","36-40歲","女","新竹縣","傳統保健理財族"
"fa431b19","31-35歲","女","新竹縣","樂動廣告品牌控"
"d0bee4c8","36-40歲","女","高雄市","物質享樂衝購族"
"761a603c","41-45歲","女","新北市","健康愛家定存控"
"b6ad9ed6","41-45歲","女","新北市","愛搜愛比網購客"
"061d551d","41-45歲","女","南投縣","網購社媒手機迷"
"7bcd6a20","36-40歲","女","桃園市","健康愛家定存控"
"3fb68240","31-35歲","男","台中市","樂動廣告品牌控"
"3ffe0a19","36-40歲","女","嘉義市","樂動廣告品牌控"
"b6b3f91e","61-65歲","男","台中市","愛搜愛比網購客"
"7467dc15","51-55歲","女","彰化縣","品味養生理財貴族"
"27e2b482","36-40歲","女","高雄市","樂動廣告品牌控"
"3e479eb8","46-50歲","女","花蓮縣","傳統保健理財族"
"9c8f23e4","61-65歲","女","台北市","品味養生理財貴族"
"3e3f2741","61-65歲","女","台北市","獨立愛遊理財新手"
"232fdf67","46-50歲","女","台北市","網購社媒手機迷"
"4cab8c6c","51-55歲","男","台中市","樂動廣告品牌控"
"b5d3b8f5","56-60歲","女","桃園市","品味養生理財貴族"
"c331e646","41-45歲","女","新北市","品味養生理財貴族"
"f108e59c","61-65歲","女","台北市","品味養生理財貴族"
"758fb48a","36-40歲","女","雲林縣","健康愛家定存控"
"4f5e0c48","51-55歲","女","新竹縣","健康愛家定存控"
"70daa63e","36-40歲","男","台南市","樂動廣告品牌控"
"036c7f09","36-40歲","男","桃園市","運動科技潮人"
"acf217bf","46-50歲","女","台北市","運動科技潮人"
"14ac338e","26-30歲","女","彰化縣","網購社媒手機迷"
"ecdbe139","56-60歲","男","台中市","樂動廣告品牌控"
"3e383e81","36-40歲","女","台北市","樂動廣告品牌控"
"3326c1b4","46-50歲","男","台北市","運動科技潮人"
"3539d76b","31-35歲","女","新北市","物質享樂衝購族"
"1b5b31e2","46-50歲","女","屏東縣","健康愛家定存控"
"67e251a8","46-50歲","女","新竹縣","物質享樂衝購族"
"b04fc8b3","41-45歲","男","新北市","運動科技潮人"
"0c4b29ea","26-30歲","女","新北市","樂動廣告品牌控"
"4b9d828d","31-35歲","女","台南市","物質享樂衝購族"
"35c16391","51-55歲","女","台中市","品味養生理財貴族"
"91c1cb06","41-45歲","女","新竹縣","網購社媒手機迷"
"70bf41b3","51-55歲","男","台中市","樂動廣告品牌控"
"90584582","51-55歲","女","嘉義市","樂動廣告品牌控"
"215d5a17","41-45歲","男","彰化縣","樂動廣告品牌控"
"da459fda","36-40歲","女","台北市","物質享樂衝購族"
"2342fc86","46-50歲","女","花蓮縣","獨立愛遊理財新手"
"e9f17ddc","26-30歲","女","新竹縣","物質享樂衝購族"
"118aecc1","36-40歲","男","新北市","樂動廣告品牌控"
"c36e98f9","41-45歲","女","台中市","健康愛家定存控"
"73b637e2","46-50歲","女","新竹市","獨立愛遊理財新手"
"f3caac2e","41-45歲","男","台北市","運動科技潮人"
"7c28a95b","41-45歲","女","台中市","樂動廣告品牌控"
"710d173f","31-35歲","女","苗栗縣","物質享樂衝購族"
"2f2ca76e","36-40歲","女","台南市","健康愛家定存控"
"740c6ea9","46-50歲","女","台東縣","物質享樂衝購族"
"585599fc","26-30歲","女","新竹縣","物質享樂衝購族"
"82997798","46-50歲","男","新北市","愛搜愛比網購客"
"b6da654e","51-55歲","男","新北市","樂動廣告品牌控"
"09984dcc","36-40歲","女","苗栗縣","物質享樂衝購族"
"98e0ec9b","36-40歲","男","桃園市","運動科技潮人"
"6098c242","26-30歲","女","花蓮縣","健康愛家定存控"
"0648ec21","46-50歲","男","花蓮縣","健康愛家定存控"
"25b45099","56-60歲","女","新竹市","樂動廣告品牌控"
"27182c8a","51-55歲","男","台中市","愛搜愛比網購客"
"b7029a78","36-40歲","女","新北市","品味養生理財貴族"
"fb51bcb5","26-30歲","女","苗栗縣","物質享樂衝購族"
"e5c99951","31-35歲","女","台北市","網購社媒手機迷"
"1ac5da29","31-35歲","女","新竹市","網購社媒手機迷"
"afc012b7","41-45歲","男","台南市","運動科技潮人"
"91b68fdf","31-35歲","女","新竹縣","物質享樂衝購族"
"5cda66f1","41-45歲","女","台北市","品味養生理財貴族"
"1b0a3690","31-35歲","男","苗栗縣","運動科技潮人"
"1e303609","31-35歲","女","新北市","健康愛家定存控"
"06b3505e","26-30歲","女","高雄市","健康愛家定存控"
"9a4fb8c5","41-45歲","男","新北市","運動科技潮人"
"d8cd16cb","36-40歲","女","苗栗縣","物質享樂衝購族"
"a49e7b8b","36-40歲","女","花蓮縣","物質享樂衝購族"
"689b3cbe","51-55歲","女","新竹縣","愛搜愛比網購客"
"e9b5a1b8","36-40歲","男","新竹縣","運動科技潮人"
"fc10dc9e","46-50歲","男","台北市","樂動廣告品牌控"
"c061e76a","36-40歲","女","台北市","物質享樂衝購族"
"80b01164","41-45歲","女","花蓮縣","健康愛家定存控"
"8f246659","46-50歲","女","新竹縣","樂動廣告品牌控"
"449b297c","46-50歲","女","花蓮縣","網購社媒手機迷"
"81dae4f5","36-40歲","女","台北市","物質享樂衝購族"
"6890e89f","31-35歲","女","新竹縣","樂動廣告品牌控"
"5b2b2439","41-45歲","女","高雄市","網購社媒手機迷"
"3b44e5d0","36-40歲","女","新北市","網購社媒手機迷"
"57fcd396","41-45歲","男","新竹市","愛搜愛比網購客"
"5af08e8d","26-30歲","女","南投縣","健康愛家定存控"
"88de362b","46-50歲","女","台中市","網購社媒手機迷"
"78c1a07d","26-30歲","女","台中市","物質享樂衝購族"
"36ca81e7","26-30歲","女","新竹縣","健康愛家定存控"
"532c6d55","36-40歲","女","台中市","獨立愛遊理財新手"
"7eb82d80","31-35歲","女","新北市","運動科技潮人"
"55ee6360","36-40歲","女","新竹縣","健康愛家定存控"
"c8e9152d","36-40歲","女","新北市","獨立愛遊理財新手"
"b0f584e7","46-50歲","女","彰化縣","健康愛家定存控"
"bda12e0c","41-45歲","女","新北市","品味養生理財貴族"
"12cc5836","36-40歲","女","台中市","物質享樂衝購族"
"67c95195","41-45歲","女","彰化縣","網購社媒手機迷"
"f33e4fa3","46-50歲","女","台北市","品味養生理財貴族"
"57f7b16e","46-50歲","女","新竹縣","健康愛家定存控"
"72fc4d41","31-35歲","女","台南市","網購社媒手機迷"
"f104ced6","46-50歲","男","台北市","運動科技潮人"
"e0959891","61-65歲","男","新北市","愛搜愛比網購客"
"fac80876","46-50歲","女","台北市","樂動廣告品牌控"
"2fbcfb75","21-25歲","女","新竹縣","物質享樂衝購族"
"0a0ad8aa","41-45歲","女","新竹縣","品味養生理財貴族"
"52e67b1b","46-50歲","女","台北市","獨立愛遊理財新手"
"10080655","46-50歲","男","新北市","樂動廣告品牌控"
"68c9ae9e","31-35歲","女","新竹市","品味養生理財貴族"
"d23dfcc0","41-45歲","男","新竹縣","運動科技潮人"
"cab8e1a6","31-35歲","女","宜蘭縣","獨立愛遊理財新手"
"caef1aee","36-40歲","女","新竹縣","網購社媒手機迷"
"976ecaec","56-60歲","女","桃園市","網購社媒手機迷"
"157e43bb","41-45歲","男","新北市","愛搜愛比網購客"
"c921ee7a","31-35歲","女","台中市","網購社媒手機迷"
"f1170193","31-35歲","女","新北市","健康愛家定存控"
"15e22e5a","46-50歲","女","高雄市","網購社媒手機迷"
"fa2d8c48","26-30歲","女","新北市","健康愛家定存控"
"c33933a0","46-50歲","男","台東縣","運動科技潮人"
"32611ebb","46-50歲","男","桃園市","愛搜愛比網購客"
"19b496f3","26-30歲","女","新竹縣","獨立愛遊理財新手"
"228c2ba2","41-45歲","女","新北市","品味養生理財貴族"
"b323e8c4","41-45歲","女","彰化縣","物質享樂衝購族"
"e4a73cd3","21-25歲","女","高雄市","健康愛家定存控"
"a2aa5718","61-65歲","男","新北市","愛搜愛比網購客"
"63fb52aa","31-35歲","女","苗栗縣","物質享樂衝購族"
"e34d5092","36-40歲","男","台中市","樂動廣告品牌控"
"83c7ab3f","51-55歲","女","台北市","品味養生理財貴族"
"209d8362","46-50歲","女","台中市","傳統保健理財族"
"703bf5a8","31-35歲","女","苗栗縣","網購社媒手機迷"
"cb2c8446","26-30歲","女","台中市","獨立愛遊理財新手"
"c989f3a2","31-35歲","女","台北市","獨立愛遊理財新手"
"b6c2e1e6","31-35歲","女","台中市","物質享樂衝購族"
"99725cc5","46-50歲","女","台中市","健康愛家定存控"
"effe3ec4","41-45歲","女","新北市","運動科技潮人"
"0878b7bf","41-45歲","女","花蓮縣","品味養生理財貴族"
"e2abd140","41-45歲","男","花蓮縣","愛搜愛比網購客"
"ac941681","31-35歲","女","新竹縣","健康愛家定存控"
"37de8f6d","46-50歲","女","新竹縣","愛搜愛比網購客"
"78e7b6e9","56-60歲","男","桃園市","運動科技潮人"
"95dfaf23","31-35歲","女","台中市","物質享樂衝購族"
"d3ed051d","31-35歲","女","新北市","網購社媒手機迷"
"01b12385","46-50歲","女","台南市","網購社媒手機迷"
"499751d5","46-50歲","女","苗栗縣","愛搜愛比網購客"
"2b7c57c5","56-60歲","女","新北市","物質享樂衝購族"
"742e812e","31-35歲","女","桃園市","樂動廣告品牌控"
"26b78ea1","36-40歲","女","新竹縣","健康愛家定存控"
"3ae0f953","56-60歲","男","新竹市","愛搜愛比網購客"
"fda1d432","36-40歲","男","台北市","運動科技潮人"
"83ef1769","31-35歲","女","台北市","品味養生理財貴族"
"1a403e00","41-45歲","女","苗栗縣","樂動廣告品牌控"
"b129964f","36-40歲","女","新竹縣","健康愛家定存控"
"48b94947","26-30歲","女","新竹縣","物質享樂衝購族"
"651ca18c","56-60歲","女","新竹縣","樂動廣告品牌控"
"764610e0","46-50歲","女","新竹縣","傳統保健理財族"
"8aa12f03","51-55歲","女","苗栗縣","物質享樂衝購族"
