"order_num","detail_no","description","quantity","unit_price","amount"
"2107","2","總折價","1","-40","-40"
"2107","3","其他支付媒體","1","0","0"
"2167","2","每日健康雞肉蔬菜-20入/S-03","1","265","265"
"2167","6","其他支付媒體","1","0","0"
"2243","3","其他支付媒體","1","0","0"
"2243","2","總折價","1","-51","-51"
"2243","1","C.C.P機能雞肉 膚毛 保健零食100g","1","210","210"
"2232","1","好快樂寵物毛順排-30入裝","1","1200","1200"
"2232","3","洛格除臭抑菌護理濕紙巾（貓用）50抽/包","1","110","110"
"2232","7","其他支付媒體","1","0","0"
"2232","2","卡爾豆腐貓砂-烏龍茶6L","1","420","420"
"2232","5","卡爾豆腐貓砂-活性碳6L","1","420","420"
"2130","2","總折價","1","-40","-40"
"2215","4","總折價","1","-287","-287"
"2130","1","x15mm牛仔頸圈","1","200","200"
"2215","5","其他支付媒體","1","0","0"
"2252","4","CIAO啾嚕幼貓肉泥-鮪魚14g*4入","1","100","100"
"2252","6","CIAO啾嚕肉泥-鰹魚燒干貝14g*4入","4","100","400"
"2151","3","其他支付媒體","1","0","0"
"2252","3","CIAO啾嚕11歲肉泥-鰹魚+鮪魚14g*4入","1","100","100"
"2252","9","其他支付媒體","1","0","0"
"2252","2","CIAO啾嚕肉泥-化毛配方鮪魚14g*4入","1","100","100"
"2252","1","Hello Fresh好鮮清蒸鯖魚50g","1","24","24"
"2241","1","維克-克補軟膏120.5gm","2","450","900"
"2144","1","包月/美容服務","1","500","500"
"2144","2","總折價","1","0","0"
"2201","7","C.C.P機能雞肉 視力 保健零食100g","1","210","210"
"2201","2","總折價","1","-211","-211"
"2187","1","日日好極細豆腐貓砂-活性碳7L","2","430","860"
"2201","6","C.C.P機能雞肉 膚毛 保健零食100g","1","210","210"
"2201","11","x易特廚-奢華嫩鮭魚大餐 鮪魚-雞肉-鮭魚","1","30","30"
"2201","10","x易特廚-吻仔魚精緻大餐 鮪魚-雞肉-吻仔魚","1","30","30"
"2201","8","x易特廚-頂級鰹魚大餐   鮪魚-雞肉-鰹魚","1","30","30"
"2201","9","x易特廚-紅寶石榴大餐   鮪魚-雞肉-石榴","1","30","30"
"2210","1","卡爾天然活性碳多功能貓砂7kg(無香)","3","430","1290"
